Topic,Count,Name,Representation,Representative_Docs,Total_Likes,Average_Likes
-1,17431,-1_feed_of_art_this,"['feed', 'of', 'art', 'this', 'my', 'is', 'or', 'to', 'that', 'you']","['my feed just for the art!', 'Follow to see my art only :)', 'Here you can see my art. ⭐']",484452,27.79
0,1269,0_bluestocksapp_spamfiltered_investors_relevant,"['bluestocksapp', 'spamfiltered', 'investors', 'relevant', 'latest', 'by', 'about', 'posts', 'for', 'and']","['The latest posts about Safe (SAFE). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about Life Crypto (LIFE). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about Sonic (S). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app']",958,0.75
1,1130,1_bluestocks_httpsappsapplecomappid6740137234_stocks_features,"['bluestocks', 'httpsappsapplecomappid6740137234', 'stocks', 'features', 'right', 'app', 'track', 'check', 'out', 'spamfiltered']","['The latest posts about Hasbro (HAS). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'Your personalized feed of posts about stocks in your Bluestocks watchlist\n\nFor all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'The latest posts about Media Network (MEDIA). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234']",10,0.01
2,826,2_httpstrackgoodfeedsco_tracking_naturism_wallpaper,"['httpstrackgoodfeedsco', 'tracking', 'naturism', 'wallpaper', 'italianfood', 'nudism', 'naturist', 'tracks', 'ff14', 'r4today']","['Tracking ""nudist"", ""naturist"", ""clothes free""\n\nhttps://track.goodfeeds.co/', 'tracking people having fresh starts', 'tracking dbd, dead by daylight, and bhvr! open to suggestions for more tracking terms lol']",4970,6.02
3,756,3_music_radio_songs_metal,"['music', 'radio', 'songs', 'metal', 'audio', 'spotify', 'band', 'bass', 'song', 'rock']","['All of my music posts!', 'My music', 'A feed for my music!']",12784,16.91
4,650,4_gtsgrowthesky_local_looking_state,"['gtsgrowthesky', 'local', 'looking', 'state', 'gems', 'hidden', 'city', 'washington', 'events', 'culture']","['Explore the vibrant culture of Maryland through our feed, showcasing local events, attractions, food, and hidden gems across the state!', 'Explore the beauty and charm of West Virginia! Discover outdoor adventures, local culture, and hidden gems across this stunning state.', ""Explore the vibrant culture of Seattle through our feed, featuring local events, hidden gems, and the city's unique art scene!""]",4291,6.6
5,473,5_bluesky_blue_sky_on,"['bluesky', 'blue', 'sky', 'on', 'blueskyfeedcreatorcom', 'across', 'accounts', 'pupskyapp', 'blueskys', 'part']","['A list of bluesky posts', 'History in your Blue Sky feed', 'The top posts by BLUE influencers on Blue Sky over the past 3 hours. Posts with the most discussion and replies on top.']",20466,43.27
6,460,6_likes_last_sorted_hours,"['likes', 'last', 'sorted', 'hours', 'liked', '24', 'ranking', 'most', 'hn', 'top']","['All posts, sorted by likes.', 'A feed of  posts sorted by likes.', 'My top posts sorted by likes!']",48834,106.16
7,373,7_feeds_custom_feed_exalted,"['feeds', 'custom', 'feed', 'exalted', 'im', 'subset', 'evensong', 'betafeed', 'chucky', 'cosmere']","['Feed of all Feeds', 'Feed is dedicated to the Exalted tabletop game. \n#exalted or #exalted_ttrpg to have a post added.\nExalted writers or developers or content creators of exalted content dm @terrtle.bsky.social to make sure your content is more likely to show up. This does not affect the algorithm.', 'all of my feeds in one']",4685,12.56
8,311,8_gaming_games_game_video,"['gaming', 'games', 'game', 'video', 'indie', 'playstation', 'nintendo', 'retro', 'opt', 'developers']","['video games feed!', 'Your gaming feed! Stay updated with the latest gaming news, exclusive game insights, gaming media highlights, and upcoming games releases. Dive into the world of games—because every gamer deserves to know!', 'For all the gaming content']",14889,47.87
