Topic,Count,Name,Representation,Representative_Docs
-1,16287,-1_of_feed_art_in,"['of', 'feed', 'art', 'in', 'to', 'this', 'or', 'my', 'is', 'and']","['A feed that should mostly just show my art / stuff I post tagged with art words.', 'feed of my art~', 'A feed of my art!']"
0,1409,0_bluestocksapp_spamfiltered_investors_relevant,"['bluestocksapp', 'spamfiltered', 'investors', 'relevant', 'latest', 'by', 'about', 'posts', 'for', 'and']","['The latest posts about Harmony (ONE). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about Bitcoin (BTC). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about ON Semiconductor (ON). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app']"
1,1232,1_regex_custom_feed_personal,"['regex', 'custom', 'feed', 'personal', 'bookmarks', 'feeds', 'replies', 'reposts', 'that', 'this']","['Feed of only my posts, no reposts or replies', 'A custom ""Only Posts"" feed of all the people I follow + myself. For my personal use but feel free to browse it too.\nGoes back 7 days.', 'Feed that shows all replies from people you follow to anyone (like in the original Following feed). Excludes your own posts and replies to you or made in your own threads. (See also the ""Follows & Replies"" version.)']"
2,923,2_bluestocks_httpsappsapplecomappid6740137234_stocks_features,"['bluestocks', 'httpsappsapplecomappid6740137234', 'stocks', 'features', 'right', 'app', 'track', 'check', 'out', 'spamfiltered']","['The latest posts about PROS (PRO). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'The latest posts about Hasbro (HAS). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'Your personalized feed of posts about stocks in your Bluestocks watchlist\n\nFor all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234']"
3,836,3_httpstrackgoodfeedsco_tracking_wallpaper_italianfood,"['httpstrackgoodfeedsco', 'tracking', 'wallpaper', 'italianfood', 'ff14', 'tracks', 'bobcats', 'allosexual', 'r4today', 'rugby']","['Tracking movies watched in 2024', 'Tracking ""pitch me""', 'Tracking my album of the day posts']"
4,825,4_music_metal_songs_radio,"['music', 'metal', 'songs', 'radio', 'band', 'audio', 'song', 'spotify', 'bass', 'rock']","['A feed for my music!', 'Music', 'Music feed']"
5,509,5_nsfw_18_sfw_hairy,"['nsfw', '18', 'sfw', 'hairy', 'art', 'minors', 'creators', 'explicit', 'warning', 'nudity']","['A feed of my NSFW art.', 'my nsfw art feed 👍', ""NSFW Feed of Xav's Art""]"
6,464,6_photography_photos_photographers_film,"['photography', 'photos', 'photographers', 'film', 'photo', 'camera', 'images', 'cameras', 'landscape', 'nature']","['Photography', 'Feed for my photography', 'Feed with my photography posts.']"
7,425,7_likes_last_sorted_hours,"['likes', 'last', 'sorted', 'hours', 'liked', '24', 'ranking', 'days', 'top', 'hn']","['My top posts sorted by likes!', 'My top posts, sorted by likes!', 'Everything in the past 24 hours sorted by Likes']"
8,408,8_girls_monster_boobs_verified,"['girls', 'monster', 'boobs', 'verified', 'porn', 'realgirls', 'goth', 'creators', 'fanfiction', 'fans']","['Verified adult content creators posting breeding kink content\r\n\r\n(to be featured, link in bio to join RealNSFW list, then use any #breeding hashtag)', 'HQ for Onlyfans, Fansly, FMTY babes, strippers, & SWers of all kinds💙🤍\r\nReal NSFW content from real people.\r\nFocus on Hot Girls & NB Porn, Lewds, & Nudes\r\n\r\nVerified creators only! Get approved: babesky.com/request\r\n\r\nIncludes media tagged with #realNSFW', 'Natural girls - may be NSFW/adult/nudity/porn\r\n\r\n(Must be on RealGirls list to be featured)']"
